director,rating,openingweekendgross,movie_title,domestic_total_gross,release_date,runtime,budget,,
,G,,The Rescuers,29000000,6/22/77 0:00,76,,,
Mark S. Waters,PG,19004058,The Spiderwick Chronicles,71195053,2/14/08 0:00,97,90000000,,
Frank Oz,R,19018807,The Score,71107711,7/13/01 0:00,123,68000000,,
,PG,12211042,Turner & Hooch,71079915,7/28/89 0:00,97,,,
Raja Gosnell,PG,17548389,The Smurfs 2,71017784,7/31/13 0:00,105,105000000,,
,PG-13,15338160,Bird on a Wire,70978012,5/18/90 0:00,110,,,
Harold Ramis,PG,12517672,Groundhog Day,70906973,2/12/93 0:00,101,,,
The Farrelly Bros.,PG-13,22518295,Shallow Hal,70839203,11/9/01 0:00,113,40000000,,
Keenen Ivory Wayans,PG-13,19676748,White Chicks,70831760,6/23/04 0:00,109,37000000,,
John Woo,R,15583510,Broken Arrow,70770147,2/9/96 0:00,108,,,
,PG,8024663,Any Which Way You Can,70687344,12/17/80 0:00,116,,,
Ivan Reitman,R,19652921,No Strings Attached,70662220,1/21/11 0:00,110,25000000,,
Alan J. Pakula,R,,All the President's Men,70600000,4/7/76 0:00,138,,,
Malcolm D. Lee,R,30107555,The Best Man Holiday,70525195,11/15/13 0:00,122,17000000,,
James McTeigue,R,25642340,V for Vendetta,70511035,3/17/06 0:00,131,54000000,,
Paul W.S. Anderson,PG-13,23283887,Mortal Kombat,70454098,8/18/95 0:00,101,,,
Oliver Stone,R,5223658,JFK,70405498,12/20/91 0:00,206,,,
John Singleton,R,21714757,Shaft,70334258,6/16/00 0:00,127,46000000,,
,PG,7108344,Moonraker,70308099,6/29/79 0:00,126,,,
Oliver Stone,PG-13,18730762,World Trade Center,70278893,8/9/06 0:00,125,65000000,,
Sylvester Stallone,PG,12158168,Rocky Balboa,70270943,12/20/06 0:00,102,24000000,,
Andy Tennant,PG-13,21589295,Fool's Gold,70231041,2/8/08 0:00,110,70000000,,
,PG,22052836,Star Trek: Insurrection,70187658,12/11/98 0:00,103,58000000,,
,PG-13,3874911,Grumpy Old Men,70172621,12/25/93 0:00,104,,,
John Whitesell,PG-13,27736056,Big Momma's House 2,70165972,1/27/06 0:00,99,40000000,,
John Hughes,PG-13,6275647,Ferris Bueller's Day Off,70136369,6/13/86 0:00,102,,,
Chris Weitz,PG-13,25783232,The Golden Compass,70107728,12/7/07 0:00,113,180000000,,
Quentin Tarantino,R,22089322,Kill Bill Vol. 1,70099045,10/10/03 0:00,110,30000000,,
,R,17073856,Blade,70087718,8/21/98 0:00,120,,,
,R,13640706,Boomerang,70052444,7/1/92 0:00,117,42000000,,
Mike McCoyScott Waugh,R,24476632,Act of Valor,70012847,2/24/12 0:00,111,12000000,,
Oliver Stone,R,11023650,Born on the Fourth of July,70001698,12/22/89 0:00,145,,,
Gabriele Muccino,PG-13,14851136,Seven Pounds,69951824,12/19/08 0:00,118,55000000,,
,R,4739769,Private Benjamin,69847348,10/10/80 0:00,110,,,
Ron Howard,PG,6174059,Splash,69821334,3/9/84 0:00,111,,,
Dominic Sena,R,18145632,Swordfish,69772969,6/8/01 0:00,99,102000000,,
,R,11874268,The Best Little Whorehouse in Texas,69701637,7/23/82 0:00,114,,,
Jon Turteltaub,PG,12687726,Disney's The Kid,69691949,7/7/00 0:00,104,65000000,,
Chris Columbus,PG-13,12522240,Nine Months,69684532,7/14/95 0:00,103,,,
Callie Khouri,PG-13,16167412,Divine Secrets of the Ya-Ya Sisterhood,69599016,6/7/02 0:00,116,27000000,,
Jim Abrahams,PG-13,10848182,Hot Shots!,69467617,8/2/91 0:00,84,26000000,,
John McTiernan,R,14600719,The Thomas Crown Affair,69305181,8/6/99 0:00,113,48000000,,
Martin Campbell,PG-13,15507845,Vertical Limit,69243859,12/8/00 0:00,124,75000000,,
,PG-13,20154919,Lost in Space,69117629,4/3/98 0:00,130,80000000,,
,PG-13,20671446,Guess Who,68915888,3/25/05 0:00,104,,,
Jon Turteltaub,PG,7046648,Cool Runnings,68856263,10/1/93 0:00,98,14000000,,
Peter Weir,R,4539990,Witness,68706993,2/8/85 0:00,112,,,
Breck Eisner,PG-13,18068372,Sahara,68671925,4/8/05 0:00,124,130000000,,
Thor Freudenthal,PG,14401054,Percy Jackson: Sea of Monsters,68559554,8/7/13 0:00,106,90000000,,
Todd Phillips,R,15484004,Road Trip,68540777,5/19/00 0:00,94,16000000,,
,PG-13,19208806,Blue Streak,68518533,9/17/99 0:00,94,65000000,,
,R,7766201,Purple Rain,68392977,7/27/84 0:00,111,,,
Peyton Reed,PG-13,17362105,Bring It On,68379000,8/25/00 0:00,98,28000000,,
,PG-13,28612730,Obsessed,68261644,4/24/09 0:00,105,20000000,,
Mark S. Waters,PG,18445355,Mr. Popper's Penguins,68224452,6/17/11 0:00,95,55000000,,
,PG,8902564,Octopussy,67893619,6/10/83 0:00,131,,,
Wolfgang Petersen,R,13420387,Outbreak,67659560,3/10/95 0:00,128,,,
Clint Eastwood,R,9688561,Sudden Impact,67642693,12/9/83 0:00,117,,,
Andrew Davis,R,16615704,A Perfect Murder,67638368,6/5/98 0:00,108,,,
Florian Henckel von Donnersmarck,PG-13,16472458,The Tourist,67631157,12/10/10 0:00,103,100000000,,
Judd Apatow,R,11579175,This Is 40,67544505,12/21/12 0:00,133,35000000,,
Michael Mann,R,8445656,Heat,67436818,12/15/95 0:00,172,,,
Andrew Davis,PG,16300155,Holes,67406573,4/18/03 0:00,117,20000000,,
Christopher Nolan,R,20930169,Insomnia,67355513,5/24/02 0:00,118,46000000,,
John Moore,R,24834845,A Good Day to Die Hard,67349198,2/14/13 0:00,97,92000000,,
Joe Johnston,PG-13,18829435,Hidalgo,67303450,3/5/04 0:00,136,100000000,,
David Wain,R,19167085,Role Models,67294270,11/7/08 0:00,95,28000000,,
Thomas Carter,PG-13,24182961,Coach Carter,67264877,1/14/05 0:00,134,30000000,,
Michael Apted,PG,3366443,Coal Miner's Daughter,67182787,3/7/80 0:00,125,,,
Andy Fickman,PG,24402214,Race to Witch Mountain,67172594,3/13/09 0:00,99,,,
Joseph Ruben,PG-13,21022111,The Forgotten,67133509,9/24/04 0:00,89,42000000,,
Roger Donaldson,PG-13,18479435,Dante's Peak,67127760,2/7/97 0:00,109,116000000,,
Andy Tennant,PG-13,20686423,The Bounty Hunter,67061228,3/19/10 0:00,106,40000000,,
Forest Whitaker,R,14126927,Waiting to Exhale,67052156,12/22/95 0:00,127,,,
,PG-13,7766452,The Secret of My Success,66995879,4/10/87 0:00,111,,,
,G,19883351,102 Dalmatians,66957026,11/22/00 0:00,104,85000000,,
,PG,16580209,Kangaroo Jack,66934963,1/17/03 0:00,89,60000000,,
Peter Hyams,R,20523595,End of Days,66889043,11/24/99 0:00,121,100000000,,
Gore Verbinski,R,20108829,The Mexican,66845033,3/2/01 0:00,123,57000000,,
,R,17128062,Changing Lanes,66818548,4/12/02 0:00,98,45000000,,
Tim Burton,PG-13,13811191,Big Fish,66809693,12/10/03 0:00,125,70000000,,
John Hughes,PG,8794501,Uncle Buck,66758538,8/18/89 0:00,100,,,
,R,19558558,The Godfather Part III,66666062,12/25/90 0:00,162,54000000,,
Mike Nichols,R,9656250,Charlie Wilson's War,66661095,12/21/07 0:00,97,75000000,,
Edward Zwick,R,14038128,Legends of the Fall,66638883,12/23/94 0:00,134,,,
Baltasar Kormakur,R,24349815,Contraband,66528000,1/13/12 0:00,110,25000000,,
Phillip Noyce,R,16712020,The Bone Collector,66518655,11/5/99 0:00,118,73000000,,
Rian Johnson,R,20801522,Looper,66486205,9/28/12 0:00,118,30000000,,
David R. Ellis,R,27408309,The Final Destination,66477700,8/28/09 0:00,82,40000000,,
,PG-13,23075892,The League of Extraordinary Gentlemen,66465204,7/11/03 0:00,112,78000000,,
Frank Oz,PG-13,18062550,Bowfinger,66384775,8/13/99 0:00,97,55000000,,
Jonathan Levine,PG-13,20353967,Warm Bodies,66380662,2/1/13 0:00,97,35000000,,
Nancy Meyers,PG,11148497,The Parent Trap,66308518,7/31/98 0:00,128,,,
Quentin Tarantino,R,25104949,Kill Bill Vol. 2,66208183,4/16/04 0:00,120,30000000,,
,PG,10883835,Smokey and the Bandit II,66132626,8/15/80 0:00,101,,,
,G,12709221,Herbie: Fully Loaded,66023816,6/22/05 0:00,92,50000000,,
,G,,"What's Up, Doc?",66000000,3/9/72 0:00,94,,,
Jonathan Demme,R,20018620,The Manchurian Candidate,65955630,7/30/04 0:00,130,80000000,,
,PG-13,16620887,Anaconda,65885767,4/11/97 0:00,89,,,
Michael Bay,R,15523358,Bad Boys,65807024,4/7/95 0:00,123,19000000,,
Andy Tennant,PG-13,8526904,Ever After: A Cinderella Story,65705771,7/31/98 0:00,121,26000000,,
,R,5170403,Stakeout,65673233,8/7/87 0:00,116,,,
Jan DeBont,PG-13,21783641,Lara Croft Tomb Raider: The Cradle of Life,65660196,7/25/03 0:00,110,95000000,,
Tyler Perry,PG-13,25390575,Tyler Perry's Madea's Witness Protection,65653242,6/29/12 0:00,114,20000000,,
Mike Mitchell,R,12224016,Deuce Bigalow: Male Gigolo,65538755,12/10/99 0:00,88,17000000,,
,Unrated,,The Ten Commandments,65500000,10/5/56 0:00,220,,,
Tony Scott,R,23373102,The Taking of Pelham 1 2 3,65452312,6/12/09 0:00,121,100000000,,
Peter Berg,PG-13,25534825,Battleship,65422625,5/18/12 0:00,131,209000000,,
Anne Fletcher,PG-13,20659573,Step Up,65328121,8/11/06 0:00,98,12000000,,
,G,31117834,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,65281781,2/1/08 0:00,74,,,
,R,23507007,The Amityville Horror,65233369,4/15/05 0:00,89,19000000,,
Richard Donner,R,6829949,Lethal Weapon,65207127,3/6/87 0:00,110,,,
,G,,The Muppet Movie,65200000,6/22/79 0:00,95,,,
Bryan Singer,PG-13,27202226,Jack the Giant Slayer,65187603,3/1/13 0:00,114,195000000,,
Kevin Rodney Sullivan,PG-13,24241612,Barbershop 2: Back in Business,65111277,2/6/04 0:00,106,30000000,,
Alexander Payne,R,8533162,About Schmidt,65016287,12/13/02 0:00,124,30000000,,
Mike Nichols,R,17911366,Wolf,65002597,6/17/94 0:00,125,,,
Marcus Nispel,R,40570365,Friday the 13th,65002019,2/13/09 0:00,95,19000000,,
Jason Moore,PG-13,14846830,Pitch Perfect,65001093,9/28/12 0:00,112,17000000,,
Rob Minkoff,PG,15115152,Stuart Little 2,64956806,7/19/02 0:00,70,120000000,,
Tarsem,PG,18132085,Mirror Mirror,64935167,3/30/12 0:00,106,85000000,,
Sylvester Stallone,PG,12146143,Staying Alive,64892670,7/15/83 0:00,96,,,
,PG,4279384,Mr. Mom,64783827,7/22/83 0:00,91,,,
David BowersSam Fell,PG,18814323,Flushed Away,64665672,11/3/06 0:00,86,149000000,,
Curtis Hanson,R,5211198,L.A. Confidential,64616940,9/19/97 0:00,138,,,
Josh Trank,PG-13,22004098,Chronicle,64575175,2/3/12 0:00,83,12000000,,
M. Night Shyamalan,R,30517109,The Happening,64506874,6/13/08 0:00,91,48000000,,
James DeMonaco,R,34058360,The Purge,64473115,6/7/13 0:00,85,3000000,,
,PG,5424810,Field of Dreams,64431625,4/21/89 0:00,107,,,
Gavin O'Connor,PG,19377577,Miracle,64378093,2/6/04 0:00,135,,,
Jeff Tremaine,R,22763437,Jackass: The Movie,64255312,10/25/02 0:00,80,5000000,,
Peter Lepeniotis,PG,19423000,The Nut Job,64251541,1/17/14 0:00,86,42000000,,
Chris WeitzPaul Weitz,PG-13,17268883,Down to Earth,64186502,2/16/01 0:00,87,49000000,,
Burr Steers,PG-13,23722310,17 Again,64167069,4/17/09 0:00,102,,,
Tony Scott,PG-13,20574802,Deja Vu,64038616,11/22/06 0:00,128,75000000,,
George Miller,PG,21237068,Happy Feet Two,64006466,11/18/11 0:00,105,,,
Thor Freudenthal,PG,22126166,Diary of a Wimpy Kid,64003625,3/19/10 0:00,120,15000000,,
,PG-13,3900000,Dirty Dancing,63446382,8/21/87 0:00,105,6000000,,
Mike Mitchell,PG,14631784,Sky High,63946815,7/29/05 0:00,102,35000000,,
Jon Turteltaub,PG-13,16334566,Last Vegas,63914167,11/1/13 0:00,90,28000000,,
,R,20414775,Life,63886029,4/16/99 0:00,109,80000000,,
Mike Newell,PG-13,11528498,Mona Lisa Smile,63860942,12/19/03 0:00,117,65000000,,
Frank Oz,PG-13,15019821,In & Out,63856929,9/19/97 0:00,92,35000000,,
Luc Besson,PG-13,17031345,The Fifth Element,63820180,5/9/97 0:00,126,,,
Mike Nichols,R,4718485,Working Girl,63779477,12/23/88 0:00,114,,,
George Miller,R,9454238,The Witches of Eastwick,63766510,6/12/87 0:00,118,,,
Frank Oz,PG,9216334,What About Bob?,63707829,5/17/91 0:00,99,,,
Jaume Collet-Serra,PG-13,21856389,Unknown,63686397,2/18/11 0:00,109,30000000,,
,G,8742545,Babe,63658910,8/4/95 0:00,92,,,
,PG,,Thunderball,63595658,12/21/65 0:00,129,,,
,R,4275327,Risky Business,63541777,8/5/83 0:00,99,6200000,,
David Frankel,PG-13,14650121,Hope Springs,63536011,8/8/12 0:00,121,,,
,G,,The Fox and the Hound,39900000,7/10/81 0:00,83,,,
Michael Mann,R,25723815,Miami Vice,63450470,7/28/06 0:00,146,135000000,,
Robert Schwentke,PG-13,18623171,The Time Traveler's Wife,63414846,8/14/09 0:00,108,39000000,,
,R,6628918,Tango & Cash,63408614,12/22/89 0:00,104,,,
,PG-13,16065430,She's All That,63366989,1/29/99 0:00,95,10000000,,
Nora Ephron,PG-13,20131130,Bewitched,63313159,6/24/05 0:00,90,85000000,,
Darren Lynn Bousman,R,31756764,Saw IV,63300095,10/26/07 0:00,108,,,
Ivan Reitman,PG-13,7306755,Dave,63270710,5/7/93 0:00,110,,,
Tyler Perry,PG-13,30030661,Tyler Perry's Madea's Family Reunion,63257940,2/24/06 0:00,107,6000000,,
Nancy Meyers,PG-13,12778913,The Holiday,63224849,12/8/06 0:00,136,85000000,,
,R,15195941,Rising Sun,63179523,7/30/93 0:00,125,,,
Nick Stoller,R,17725330,Forgetting Sarah Marshall,63172463,4/18/08 0:00,111,30000000,,
Jon Turteltaub,PG,17619622,The Sorcerer's Apprentice,63150991,7/14/10 0:00,111,150000000,,
Mike Judge,PG-13,20114233,Beavis and Butt-Head Do America,63118386,12/20/96 0:00,80,12000000,,
Martin Brest,R,6476340,Scent of a Woman,63095253,12/23/92 0:00,157,,,
,R,32902299,A Nightmare on Elm Street,63075011,4/30/10 0:00,90,35000000,,
Julie Anne Robinson,PG,16007426,The Last Song,62950384,3/31/10 0:00,107,20000000,,
Sam Mendes,R,27726210,Jarhead,62658220,11/4/05 0:00,115,72000000,,
Neil Jordan,R,5210415,The Crying Game,62548947,11/27/92 0:00,112,,,
Justin Lin,PG-13,23973840,The Fast and the Furious: Tokyo Drift,62514415,6/16/06 0:00,90,,,
George Nolfi,PG-13,21157730,The Adjustment Bureau,62495645,3/4/11 0:00,99,50200000,,
,R,4801140,A Fish Called Wanda,62493712,7/15/88 0:00,108,,,
Tony Scott,R,21689125,Spy Game,62362560,11/21/01 0:00,126,115000000,,
Mars MarlindBjorn Stein,R,25306725,Underworld Awakening,62321039,1/20/12 0:00,88,70000000,,
Len Wiseman,R,26857181,Underworld: Evolution,62318875,1/20/06 0:00,106,,,
,R,5726495,Down and Out in Beverly Hills,62134225,1/31/86 0:00,103,14000000,,
Joe Johnston,R,31479235,The Wolfman,61979680,2/12/10 0:00,102,150000000,,
Gore Verbinski,PG,6062922,Mouse Hunt,61917389,12/19/97 0:00,97,38000000,,
Sydney Pollack,PG,,The Electric Horseman,61801971,12/21/79 0:00,120,,,
,PG,,Patton,61749765,2/4/70 0:00,170,12000000,,
Gavin Hood,PG-13,27017351,Ender's Game,61737191,11/1/13 0:00,114,110000000,,
Ron Howard,PG-13,18320205,Cinderella Man,61649911,6/3/05 0:00,144,88000000,,
Richard Donner,PG,9105913,The Goonies,61389680,6/7/85 0:00,90,,,
Joel Schumacher,R,10034685,Flatliners,61489265,8/10/90 0:00,115,,,
Harold Ramis,R,8333358,National Lampoon's Vacation,61399552,7/29/83 0:00,99,,,
Phillip Noyce,PG-13,16278873,The Saint,61363304,4/4/97 0:00,118,,,
,PG-13,21833312,Stomp the Yard,61356221,1/12/07 0:00,115,13000000,,
William Friedkin,R,15011181,Rules of Engagement,61335230,4/7/00 0:00,127,60000000,,
Tarsem,R,17515050,The Cell,61334059,8/18/00 0:00,107,33000000,,
Rob Reiner,R,10076834,Misery,61276872,11/30/90 0:00,108,,,
Peter Berg,PG-13,20269025,Friday Night Lights,61255921,10/8/04 0:00,107,30000000,,
Brian Robbins,PG,16310058,The Shaggy Dog,61123569,3/10/06 0:00,98,,,
Denis Villeneuve,R,20817053,Prisoners,61002302,9/20/13 0:00,146,46000000,,
Nick Stoller,R,17570955,Get Him to the Greek,60974475,6/4/10 0:00,109,40000000,,
Taylor Hackford,R,12170536,The Devil's Advocate,60944660,10/17/97 0:00,144,,,
Richard Donner,R,4273886,The Omen,60922980,6/25/76 0:00,111,,,
Brian De Palma,PG,22855247,Mission to Mars,60883407,3/10/00 0:00,113,100000000,,
,R,16096808,Harlem Nights,60864870,11/17/89 0:00,115,,,
,PG-13,17319282,Coyote Ugly,60786269,8/4/00 0:00,101,45000000,,
,PG,9217013,God's Not Dead,60755732,3/21/14 0:00,113,2000000,,
Wolfgang Petersen,PG-13,22155410,Poseidon,60674817,5/12/06 0:00,99,160000000,,
,G,2911485,Fantasia 2000,60655420,1/1/00 0:00,75,80000000,,
David O. Russell,R,15847636,Three Kings,60652036,10/1/99 0:00,114,75000000,,
,PG,12112267,Jingle All the Way,60592389,11/22/96 0:00,88,60000000,,
,R,13215167,Kiss the Girls,60527873,10/3/97 0:00,117,27000000,,
M. Night Shyamalan,PG-13,27520040,After Earth,60522097,5/31/13 0:00,100,130000000,,
Michael McCullers,PG-13,17407110,Baby Mama,60494212,4/25/08 0:00,96,30000000,,
David Dobkin,PG-13,19603630,Shanghai Knights,60476872,2/7/03 0:00,114,50000000,,
Scott Hicks,PG-13,22518358,The Lucky One,60457138,4/20/12 0:00,101,,,
Adam Shankman,PG-13,13510293,The Wedding Planner,60400856,1/26/01 0:00,104,35000000,,
Ethan CoenJoel Coen,R,19128001,Burn After Reading,60355347,9/12/08 0:00,97,37000000,,
Richard Donner,PG-13,13027842,Scrooged,60328558,11/23/88 0:00,100,,,
Ben Stiller,PG-13,19806226,The Cable Guy,60240295,6/14/96 0:00,96,47000000,,
Paul W.S. Anderson,R,26650264,Resident Evil: Afterlife,60128566,9/10/10 0:00,100,60000000,,
Tyler Perry,PG-13,29289537,Tyler Perry's Why Did I Get Married Too?,60095852,4/2/10 0:00,121,20000000,,
John Landis,PG,8614039,Spies Like Us,60088980,12/6/85 0:00,102,,,
Rob Reiner,PG-13,10014558,The American President,60079496,11/17/95 0:00,114,,,
Roger Donaldson,R,17161943,Species,60074103,7/7/95 0:00,108,,,
Thomas Bezucha,PG-13,12521027,The Family Stone,60062868,12/16/05 0:00,102,18000000,,
-1,R,12292952,Bad Santa,60060328,11/26/03 0:00,93,23000000,,
Larry Charles,R,30619130,Bruno,60054530,7/10/09 0:00,88,,,
Forest Whitaker,PG-13,14210464,Hope Floats,60053195,5/29/98 0:00,114,,,
Michael Lembeck,PG,14010409,Tooth Fairy,60022256,1/22/10 0:00,102,48000000,,
,PG,14331819,Snow Day,60020107,2/11/00 0:00,89,13000000,,
,R,9912110,The Good Shepherd,59952835,12/22/06 0:00,160,,,
,PG,13352357,Superman III,59950623,6/17/83 0:00,125,,,
,PG,12812047,Jungle 2 Jungle,59927618,3/7/97 0:00,105,,,
Jonathan DaytonValerie Faris,R,5610845,Little Miss Sunshine,59891098,7/26/06 0:00,101,8000000,,
Dennis Dugan,PG-13,19656429,The Benchwarmers,59843754,4/7/06 0:00,90,33000000,,
John McTiernan,R,12031638,Predator,59735548,6/12/87 0:00,107,15000000,,
Randall Wallace,PG,12694770,Secretariat,59713955,10/8/10 0:00,116,35000000,,
Christopher Spencer,PG-13,25601865,Son of God,59700064,2/28/14 0:00,138,,,
,R,8698030,Love Actually,59696144,11/7/03 0:00,128,40000000,,
,R,19288438,Gothika,59694580,11/21/03 0:00,95,40000000,,
Larry Charles,R,17435092,The Dictator,59650222,5/16/12 0:00,83,65000000,,
Guillermo del Toro,PG-13,23172440,Hellboy,59623958,4/2/04 0:00,112,66000000,,
Tony Scott,R,7923669,The Last Boy Scout,59509925,12/13/91 0:00,105,,,
,PG,12391783,My Girl,59489799,11/27/91 0:00,102,17000000,,
Frank Oz,PG-13,21406781,The Stepford Wives,59484742,6/11/04 0:00,93,90000000,,
Wes Anderson,R,8539795,The Grand Budapest Hotel,59076019,3/7/14 0:00,100,,,
Edward Zwick,R,12501586,Courage Under Fire,59031057,7/12/96 0:00,117,,,
Zack Snyder,R,26722575,Dawn of the Dead,59020957,3/19/04 0:00,98,26000000,,
,PG,3434399,Chariots of Fire,58972904,9/25/81 0:00,123,,,
Ron Howard,PG-13,10194520,Far and Away,58883840,5/22/92 0:00,140,60000000,,
Len Wiseman,PG-13,25577758,Total Recall,58877969,8/3/12 0:00,121,125000000,,
Chris Buck,PG,17640249,Surf's Up,58867694,6/8/07 0:00,85,,,
John Moore,PG-13,18736133,Behind Enemy Lines,58856790,11/30/01 0:00,108,40000000,,
,R,,The Blue Lagoon,58853106,6/20/80 0:00,105,,,
Gary Winick,PG,21058173,Bride Wars,58715510,1/9/09 0:00,90,30000000,,
Francis Lawrence,PG-13,16842353,Water for Elephants,58709717,4/22/11 0:00,120,38000000,,
,PG,11083318,"Honey, I Blew Up the Kid",58662452,7/17/92 0:00,89,,,
Keenen Ivory Wayans,PG-13,21613176,Little Man,58645052,7/14/06 0:00,90,64000000,,
,PG-13,11191496,Jack,58620973,8/9/96 0:00,113,45000000,,
Jose Padilha,PG-13,21681430,RoboCop,58607007,2/12/14 0:00,108,100000000,,
,R,10017840,Sea of Love,58571513,9/15/89 0:00,113,,,
Frank Oz,PG,9106950,Housesitter,58500635,6/12/92 0:00,102,,,
Robert Zemeckis,PG-13,12110355,Death Becomes Her,58422650,7/31/92 0:00,103,55000000,,
Don Bluth,G,14104933,Anastasia,58406347,11/14/97 0:00,94,,,
Will Gluck,PG-13,17734040,Easy A,58401464,9/17/10 0:00,92,8000000,,
,G,14703405,Curious George,58360760,2/10/06 0:00,86,50000000,,
Kevin Costner,R,14047781,Open Range,58331254,8/15/03 0:00,139,22000000,,
Rob Zombie,R,26362367,Halloween,58272029,8/31/07 0:00,109,,,
Ben Stiller,PG,12765508,The Secret Life of Walter Mitty,58236838,12/25/13 0:00,114,90000000,,
Chris Columbus,PG,8234926,Bicentennial Man,58223861,12/17/99 0:00,131,100000000,,
Michael Mann,R,14710892,Ali,58203105,12/25/01 0:00,156,107000000,,
Steven Brill,PG-13,13528946,Without a Paddle,58169327,8/20/04 0:00,99,19000000,,
,R,14262432,Demolition Man,58055768,10/8/93 0:00,115,,,
Jon Chu,PG-13,18908826,Step Up 2 the Streets,58017783,2/14/08 0:00,98,,,
Brad Furman,R,13206453,The Lincoln Lawyer,58009200,3/18/11 0:00,119,40000000,,
,R,17065227,The Butterfly Effect,57938693,1/23/04 0:00,114,13000000,,
Danny DeVito,PG-13,7318878,Throw Momma From the Train,57915972,12/11/87 0:00,88,,,
Wes Craven,PG-13,16167662,Red Eye,57891803,8/19/05 0:00,85,26000000,,
Peter Chelsom,PG-13,11783467,Shall We Dance,57890460,10/15/04 0:00,95,50000000,,
,PG,17031122,Invincible,57806952,8/25/06 0:00,104,,,
Joseph L. Mankiewicz,G,,Cleopatra,57777778,6/12/63 0:00,192,44000000,,
David Twohy,PG-13,24289165,The Chronicles of Riddick,57761012,6/11/04 0:00,119,105000000,,
John Luessenhop,PG-13,20512304,Takers,57744720,8/27/10 0:00,107,32000000,,
Luke Greenfield,PG-13,19610520,The Animal,57743062,6/1/01 0:00,83,47000000,,
Roberto Benigni,PG-13,2366346,Life Is Beautiful,57247384,10/23/98 0:00,116,,,
Lasse Hallstrom,PG-13,3077420,The Cider House Rules,57545092,12/10/99 0:00,125,24000000,,
John Singleton,R,10023462,Boyz N the Hood,57504069,7/12/91 0:00,107,6500000,,
Rob Marshall,PG-13,6751729,Memoirs of a Geisha,57490508,12/9/05 0:00,144,85000000,,
,R,12046179,Pet Sematary,57469467,4/21/89 0:00,103,,,
,PG-13,10542669,Dragnet,57387516,6/26/87 0:00,106,,,
Baz Luhrmann,PG-13,13718306,Moulin Rouge!,57386607,5/18/01 0:00,127,50000000,,
Edward Zwick,R,8648324,Blood Diamond,57377916,12/8/06 0:00,138,100000000,,
,R,14317765,The Specialist,57362582,10/7/94 0:00,110,45000000,,
Steve Carr,R,14465156,Next Friday,57328603,1/12/00 0:00,98,11000000,,
Bill Duke,PG,7569219,Sister Act 2: Back in the Habit,57319029,12/10/93 0:00,107,,,
Ron Howard,PG,8300169,Willow,57269863,5/20/88 0:00,126,,,
,R,13731070,The Whole Nine Yards,57262492,2/18/00 0:00,98,41300000,,
Gary Winick,PG-13,21054283,13 Going on 30,57231747,4/23/04 0:00,97,37000000,,
John Landis,R,4858152,The Blues Brothers,57229890,6/20/80 0:00,150,,,
,PG-13,16863988,U.S. Marshals,57167405,3/6/98 0:00,131,,,
Terry Gilliam,R,13842990,12 Monkeys,57141459,12/29/95 0:00,130,,,
,R,10067609,Unlawful Entry,57138719,6/26/92 0:00,117,,,
,PG,7587565,Beethoven,57114049,4/3/92 0:00,89,,,
,PG,5312062,Annie,57059003,5/21/82 0:00,127,,,
Garry Marshall,PG-13,5160258,Beaches,57041866,12/23/88 0:00,123,,,
Cal Brunker,PG,15891055,Escape From Planet Earth,57012977,2/15/13 0:00,89,40000000,,
Jon HurwitzHayden Schlossberg,R,21514080,American Reunion,57011521,4/6/12 0:00,113,50000000,,
Randall Wallace,PG-13,17271450,The Man in the Iron Mask,56968902,3/13/98 0:00,172,,,
-1,G,,2001: A Space Odyssey,56715371,4/3/68 0:00,139,12000000,,
Tom Dey,PG-13,15607034,Shanghai Noon,56937502,5/26/00 0:00,110,55000000,,
Simon Wells,PG-13,22610437,The Time Machine,56832494,3/8/02 0:00,96,80000000,,
Woody Allen,PG-13,5830723,Midnight in Paris,56817045,5/20/11 0:00,88,17000000,,
David Hackl,R,30053954,Saw V,56746769,10/24/08 0:00,88,10800000,,
Steven Zaillian,PG-13,15163484,A Civil Action,56709981,12/25/98 0:00,115,75000000,,
Steve McQueen (II),R,6675731,12 Years a Slave,56671993,10/18/13 0:00,133,20000000,,
Stanley Kramer,Unrated,,Guess Who's Coming to Dinner,56666667,12/11/67 0:00,108,4000000,,
Amy Heckerling,PG-13,10612443,Clueless,56631572,7/21/95 0:00,97,,,
Jerry Zucker,PG-13,11662094,Rat Race,56618055,8/17/01 0:00,112,,,
Brian Helgeland,PG-13,16511391,A Knight's Tale,56569702,5/11/01 0:00,132,65000000,,
,R,12069780,Executive Decision,56569216,3/15/96 0:00,133,,,
-1,R,6454752,Tombstone,56505065,12/24/93 0:00,130,,,
Stephen Frears,PG-13,2201664,The Queen,56441711,9/30/06 0:00,97,,,
Lawrence Kasdan,R,3662152,The Big Chill,56342711,9/30/83 0:00,161,,,
Charles Stone III,PG-13,12604705,Drumline,56399184,12/13/02 0:00,118,20000000,,
Geoffrey Sax,PG-13,24113565,White Noise,56386759,1/7/05 0:00,101,,,
Tim Burton,PG-13,6325249,Edward Scissorhands,56362352,12/7/90 0:00,105,,,
Robert Rodriguez,R,23424118,Once Upon a Time in Mexico,56359780,9/12/03 0:00,97,29000000,,
Shawn Levy,PG-13,17548993,Just Married,56127162,1/10/03 0:00,95,18000000,,
